ScenarioID,Status,ErrTheta,ErrP,ErrF,SumPtrue,Note
1,ok,5.93740792442175e-16,4.10422034351617e-16,3.67569992353302e-16,0,
2,ok,5.64263959305436e-16,8.59623662071421e-16,5.48788586735748e-16,0,
3,ok,2.69188901030078e-16,1.9359879175735e-16,1.28680242476267e-16,4.44089209850063e-16,
4,ok,5.60085237036486e-16,6.72258965728658e-16,3.55310009529574e-16,-8.88178419700125e-16,
5,ok,4.5346925775473e-16,2.16550561163251e-16,2.2147523059413e-16,-6.66133814775094e-16,
6,ok,2.24036824652159e-16,2.92057868783738e-16,2.36234697111012e-16,0,
7,ok,4.90719234070062e-16,4.86413488982278e-16,2.257951762943e-16,0,
8,ok,2.67994497487817e-16,3.57307289100742e-16,1.87529006933642e-16,0,
9,ok,2.12189866934143e-16,1.73118522679708e-16,1.9102007782292e-16,0,
10,ok,1.94654922329126e-16,3.03887936149415e-16,2.06645948345519e-16,0,
11,ok,5.53206211733937e-16,5.31577123230597e-16,2.73464040089717e-16,0,
12,ok,5.30077126694914e-16,8.73370735185362e-16,6.08645436876529e-16,4.44089209850063e-16,
13,ok,2.79834059851926e-16,3.08488230542962e-16,2.37575680217308e-16,-2.22044604925031e-16,
14,ok,3.20084931292148e-16,3.30073193435213e-16,2.30928688539395e-16,-4.44089209850063e-16,
15,ok,8.35296207815092e-17,9.35738071408411e-17,9.34909728119996e-17,-2.22044604925031e-16,
16,ok,3.64767559355057e-16,2.65452930600639e-16,2.08465605102696e-16,4.44089209850063e-16,
17,ok,6.52693040776594e-16,3.68365604624919e-16,3.84079714743365e-16,0,
18,ok,4.12811998529969e-16,8.02756337857561e-16,2.62251512673528e-16,-2.22044604925031e-16,
19,ok,1.9794804383167e-16,4.5450359627185e-16,3.03461775596329e-16,2.22044604925031e-16,
20,ok,6.41112738759686e-16,3.91882495878205e-16,3.19794235396849e-16,0,
21,ok,5.41821072467247e-16,4.68958023387379e-16,4.03260784826051e-16,6.66133814775094e-16,
22,ok,5.20580346597449e-16,3.00411988987244e-16,3.02086363651525e-16,0,
23,ok,1.87208943261969e-16,3.18863265658674e-16,2.13206959824173e-16,2.22044604925031e-16,
24,ok,2.10462603455933e-16,3.52117688294718e-16,2.78411647344317e-16,0,
25,ok,8.11754778207573e-16,9.54341776480332e-16,5.11660122926612e-16,4.44089209850063e-16,
26,ok,2.13863969286836e-16,4.53926806759616e-16,2.42107310319022e-16,-8.88178419700125e-16,
27,ok,4.38118528482861e-16,2.29162402387349e-16,2.32737390919945e-16,0,
28,ok,1.50554026956055e-16,5.69805268083305e-16,2.21634975852979e-16,4.44089209850063e-16,
29,ok,3.29370228056023e-16,5.38489718693114e-16,2.36228066694172e-16,0,
30,ok,5.24925063648909e-16,5.85281344366338e-16,3.35687963941614e-16,0,
31,ok,5.4818543504197e-16,4.68070419271532e-16,2.39666621019801e-16,0,
32,ok,5.46834680540367e-16,3.61503287701407e-16,2.62244279556494e-16,0,
33,ok,6.66471054817056e-16,5.55511057147935e-16,3.19070390962536e-16,2.22044604925031e-16,
34,ok,4.54934628570401e-16,6.10635935913088e-16,2.74742338006656e-16,0,
35,ok,2.6045156875976e-16,2.87213854052869e-16,2.05106621472056e-16,-2.22044604925031e-16,
36,ok,6.23320278698208e-16,1.25453558186919e-15,4.54644867719276e-16,-2.22044604925031e-16,
37,ok,3.17561552118725e-16,6.06167102389843e-16,3.68415967409646e-16,-2.22044604925031e-16,
38,ok,4.08951267061687e-16,4.73461539518448e-16,1.67438960783094e-16,6.66133814775094e-16,
39,ok,3.93630318702418e-16,2.67340415267973e-16,2.41329879106148e-16,-2.22044604925031e-16,
40,ok,2.83412264855408e-16,1.83959761939911e-16,1.330270877384e-16,2.22044604925031e-16,
41,ok,1.7367558309117e-16,3.61569342368436e-16,1.54776910189528e-16,-2.22044604925031e-16,
42,ok,6.29563485386031e-16,5.668310574448e-16,4.29738435089814e-16,2.22044604925031e-16,
43,ok,1.77739575419195e-16,2.65814678255177e-16,2.06092240219688e-16,-2.22044604925031e-16,
44,ok,5.96918162569158e-16,6.55129272587876e-16,3.59772616443328e-16,0,
45,ok,4.92552097236032e-16,5.44682444631264e-16,2.8014795076186e-16,0,
46,ok,6.43037821751174e-16,4.44754712641423e-16,3.42182935851511e-16,0,
47,ok,3.69335301071841e-16,2.14354252850076e-16,1.93502623407375e-16,-2.22044604925031e-16,
48,ok,4.42265744873692e-16,2.38632660111676e-16,3.22781456277442e-16,0,
49,ok,4.37101217059772e-16,3.87417859097985e-16,3.85929596971404e-16,-2.22044604925031e-16,
50,ok,4.35774466975726e-16,3.8258596211056e-16,3.23600041768878e-16,2.22044604925031e-16,
51,ok,2.12575796016225e-16,4.45494219028924e-16,2.5935787969296e-16,0,
52,ok,2.59786557315806e-16,3.61868610523973e-16,2.3352236063987e-16,0,
53,ok,5.30923121379683e-16,2.60203454984325e-16,2.70667500549755e-16,0,
54,ok,2.77227264947922e-16,3.21479206868609e-16,2.24014470181308e-16,2.22044604925031e-16,
55,ok,3.76828014123829e-16,4.42697832436411e-16,2.98837921036227e-16,0,
56,ok,6.55548357539819e-16,6.09372518079252e-16,3.97505161241875e-16,0,
57,ok,3.17753004483004e-16,3.01468594880388e-16,1.92481636907432e-16,2.22044604925031e-16,
58,ok,6.82113312500579e-16,5.4172355382131e-16,4.25154235719693e-16,-6.66133814775094e-16,
59,ok,5.18172767994368e-16,5.00191204704682e-16,2.75288316458014e-16,4.44089209850063e-16,
60,ok,3.52383979997638e-16,4.4524877593729e-16,2.12629025840852e-16,4.44089209850063e-16,
61,ok,6.09982651603689e-16,3.85255444924048e-16,3.83006545203073e-16,2.22044604925031e-16,
62,ok,4.57861849964432e-16,3.66095684913127e-16,3.86941760278086e-16,-4.44089209850063e-16,
63,ok,4.75515129437354e-16,6.48927334936838e-16,2.96447538981423e-16,0,
64,ok,3.0311855813978e-16,5.67824505452878e-16,2.55651219351444e-16,4.44089209850063e-16,
65,ok,6.01439961417014e-16,5.90418915488071e-16,3.49134818129886e-16,0,
66,ok,3.84828479585038e-16,4.4504175035286e-16,3.07579875031858e-16,0,
67,ok,1.72665322106856e-16,4.94322710658453e-16,1.95121885050685e-16,6.66133814775094e-16,
68,ok,4.82908865365126e-16,4.65772417161116e-16,2.80773390034121e-16,0,
69,ok,2.86685165497027e-16,3.56328710798287e-16,1.89381607834425e-16,2.22044604925031e-16,
70,ok,6.17018760636484e-16,6.30469367655913e-16,3.5349670686431e-16,-4.44089209850063e-16,
71,ok,1.08177409330262e-16,3.17848775309657e-16,2.08914554460839e-16,0,
72,ok,4.339895344221e-16,3.97645314465409e-16,2.96144731739993e-16,0,
73,ok,3.00176481940839e-16,1.96480997143764e-16,2.15943426007493e-16,0,
74,ok,3.52413133453563e-16,3.73201626036683e-16,3.27612244102217e-16,-2.22044604925031e-16,
75,ok,5.89585784307727e-16,6.01436187821892e-16,3.65246674533737e-16,-2.22044604925031e-16,
