ScenarioID,Status,ErrTheta,ErrP,ErrF,SumPtrue,Note
1,fail,0.00941601717000109,0.0118518499271146,0.00959612783168099,0,eP=1.185e-02 eF=9.596e-03
2,fail,0.0208230261967994,0.0104049190109852,0.0101094475229428,-4.44089209850063e-16,eP=1.040e-02 eF=1.011e-02
3,fail,0.0111754649588239,0.0118997848014618,0.0104106581430286,-2.22044604925031e-16,eP=1.190e-02 eF=1.041e-02
4,fail,0.0172510498018446,0.0136197087048359,0.0108350272608847,2.22044604925031e-16,eP=1.362e-02 eF=1.084e-02
5,fail,0.0250505082614482,0.0158330336247554,0.0135254896382146,-2.22044604925031e-16,eP=1.583e-02 eF=1.353e-02
6,fail,0.00500230028810592,0.0153289527704746,0.0105628189764325,2.22044604925031e-16,eP=1.533e-02 eF=1.056e-02
7,fail,0.0153519490509142,0.0175080686874454,0.0105823543985746,2.22044604925031e-16,eP=1.751e-02 eF=1.058e-02
8,fail,0.0129500472401798,0.0157235796768596,0.0122625785553015,0,eP=1.572e-02 eF=1.226e-02
9,fail,0.0234654514446568,0.0229800261945112,0.016001649369123,-2.22044604925031e-16,eP=2.298e-02 eF=1.600e-02
10,fail,0.013786651720164,0.0193796037377611,0.0143534091419808,0,eP=1.938e-02 eF=1.435e-02
11,fail,0.028650873152517,0.0175272440668776,0.0158240622013715,0,eP=1.753e-02 eF=1.582e-02
12,fail,0.018355120472917,0.0193556433678058,0.0122143916918497,4.44089209850063e-16,eP=1.936e-02 eF=1.221e-02
13,fail,0.0106558600814452,0.017646509935073,0.0129616499455109,2.22044604925031e-16,eP=1.765e-02 eF=1.296e-02
14,ok,0.00407791604512674,0.00831387304952193,0.00531625533369534,-2.22044604925031e-16,
15,ok,0.0289030158051066,0.0097441281989691,0.00973529073217696,2.22044604925031e-16,
16,ok,0.033935012847798,0.00858875222944301,0.00942092143183445,2.22044604925031e-16,
17,fail,0.0128951464670473,0.0136182132075409,0.0124405436730719,0,eP=1.362e-02 eF=1.244e-02
18,ok,0.00963142219667322,0.00944508957212914,0.00740361033895156,0,
19,fail,0.010966056837947,0.018551172172049,0.0113784713262137,-4.44089209850063e-16,eP=1.855e-02 eF=1.138e-02
20,fail,0.00647074161468261,0.0103349565149123,0.00923717419102635,-4.44089209850063e-16,eP=1.033e-02 eF=9.237e-03
21,fail,0.00551632465259006,0.0212779753776906,0.0110168346503265,2.22044604925031e-16,eP=2.128e-02 eF=1.102e-02
22,fail,0.00869436850679474,0.0101834669994649,0.00716344540319179,-2.22044604925031e-16,eP=1.018e-02 eF=7.163e-03
23,fail,0.0116200348647603,0.0142005418320022,0.0113479989629469,0,eP=1.420e-02 eF=1.135e-02
24,fail,0.0108021263077568,0.0107098225840142,0.0117700800362294,0,eP=1.071e-02 eF=1.177e-02
25,fail,0.0059989390014623,0.0243702412481594,0.0142059634809511,0,eP=2.437e-02 eF=1.421e-02
26,ok,0.0179702259808498,0.009312541973024,0.00942795669450224,0,
27,fail,0.0100833756079428,0.0103327475175452,0.00967464052391387,2.22044604925031e-16,eP=1.033e-02 eF=9.675e-03
28,fail,0.0145606487105623,0.0161681640490954,0.0146362824180667,4.44089209850063e-16,eP=1.617e-02 eF=1.464e-02
29,fail,0.0164419945014366,0.013586178862932,0.00914171028185106,-2.22044604925031e-16,eP=1.359e-02 eF=9.142e-03
30,fail,0.0128494297782189,0.0200039384189863,0.0122746050545318,-6.66133814775094e-16,eP=2.000e-02 eF=1.227e-02
31,fail,0.0120745667610592,0.0101972248111262,0.00814148481891434,0,eP=1.020e-02 eF=8.141e-03
32,fail,0.00541776575038839,0.0195290599222148,0.0116097252554584,2.22044604925031e-16,eP=1.953e-02 eF=1.161e-02
33,fail,0.0390256723035543,0.0162629409623329,0.0210135919834772,0,eP=1.626e-02 eF=2.101e-02
34,fail,0.0255825810784759,0.0111065581066264,0.00985345933739552,0,eP=1.111e-02 eF=9.853e-03
35,fail,0.0159258886974294,0.0135359466669559,0.0111164122672837,-4.44089209850063e-16,eP=1.354e-02 eF=1.112e-02
36,fail,0.00943827629902569,0.0227408234989364,0.0171120517746534,0,eP=2.274e-02 eF=1.711e-02
37,fail,0.0130156444819806,0.0200124431716408,0.014273544761688,0,eP=2.001e-02 eF=1.427e-02
38,fail,0.0311236622811653,0.0232402521565006,0.0198728040247771,2.22044604925031e-16,eP=2.324e-02 eF=1.987e-02
39,fail,0.0240669494874933,0.0266517190857124,0.0251751826882311,2.22044604925031e-16,eP=2.665e-02 eF=2.518e-02
40,ok,0.00848147224102425,0.00676473006916068,0.00626754095887513,2.22044604925031e-16,
41,fail,0.0161638231511861,0.0168156467420119,0.0126304222672341,6.66133814775094e-16,eP=1.682e-02 eF=1.263e-02
