ScenarioID,Status,ErrTheta,ErrP,ErrF,SumPtrue,Note
1,fail,0.00470800858500078,0.00592592496355728,0.00479806391584056,0,eP=5.926e-03 eF=4.798e-03
2,fail,0.0104115130984,0.00520245950549262,0.00505472376147151,-4.44089209850063e-16,eP=5.202e-03 eF=5.055e-03
3,fail,0.00558773247941189,0.00594989240073083,0.00520532907151425,-2.22044604925031e-16,eP=5.950e-03 eF=5.205e-03
4,fail,0.00862552490092204,0.00680985435241805,0.00541751363044221,2.22044604925031e-16,eP=6.810e-03 eF=5.418e-03
5,fail,0.0125252541307246,0.00791651681237761,0.00676274481910728,-2.22044604925031e-16,eP=7.917e-03 eF=6.763e-03
6,fail,0.00250115014405302,0.00766447638523698,0.00528140948821618,2.22044604925031e-16,eP=7.664e-03 eF=5.281e-03
7,fail,0.007675974525457,0.00875403434372263,0.00529117719928731,2.22044604925031e-16,eP=8.754e-03 eF=5.291e-03
8,fail,0.00647502362009026,0.00786178983842967,0.00613128927765068,0,eP=7.862e-03 eF=6.131e-03
9,fail,0.0117327257223283,0.0114900130972555,0.00800082468456151,-2.22044604925031e-16,eP=1.149e-02 eF=8.001e-03
10,fail,0.00689332586008192,0.00968980186888043,0.00717670457099035,0,eP=9.690e-03 eF=7.177e-03
11,fail,0.0143254365762585,0.0087636220334388,0.00791203110068571,0,eP=8.764e-03 eF=7.912e-03
12,fail,0.00917756023645845,0.00967782168390286,0.00610719584592481,4.44089209850063e-16,eP=9.678e-03 eF=6.107e-03
13,fail,0.00532793004072262,0.00882325496753664,0.00648082497275548,2.22044604925031e-16,eP=8.823e-03 eF=6.481e-03
14,fail,0.00203895802256328,0.00415693652476098,0.00265812766684761,-2.22044604925031e-16,eP=4.157e-03 eF=2.658e-03
15,fail,0.0144515079025531,0.00487206409948463,0.00486764536608845,2.22044604925031e-16,eP=4.872e-03 eF=4.868e-03
16,fail,0.0169675064238992,0.00429437611472161,0.00471046071591723,2.22044604925031e-16,eP=4.294e-03 eF=4.710e-03
17,fail,0.00644757323352362,0.00680910660377036,0.00622027183653583,0,eP=6.809e-03 eF=6.220e-03
18,fail,0.00481571109833674,0.00472254478606462,0.00370180516947588,0,eP=4.723e-03 eF=3.702e-03
19,fail,0.00548302841897338,0.00927558608602447,0.0056892356631068,-4.44089209850063e-16,eP=9.276e-03 eF=5.689e-03
20,fail,0.00323537080734124,0.00516747825745607,0.00461858709551315,-4.44089209850063e-16,eP=5.167e-03 eF=4.619e-03
21,fail,0.00275816232629538,0.0106389876888456,0.00550841732516335,2.22044604925031e-16,eP=1.064e-02 eF=5.508e-03
22,fail,0.00434718425339727,0.00509173349973263,0.00358172270159591,-2.22044604925031e-16,eP=5.092e-03 eF=3.582e-03
23,fail,0.00581001743238014,0.00710027091600109,0.00567399948147343,0,eP=7.100e-03 eF=5.674e-03
24,fail,0.00540106315387844,0.00535491129200716,0.00588504001811475,0,eP=5.355e-03 eF=5.885e-03
25,fail,0.00299946950073117,0.0121851206240796,0.00710298174047553,0,eP=1.219e-02 eF=7.103e-03
26,fail,0.00898511299042517,0.00465627098651207,0.00471397834725116,0,eP=4.656e-03 eF=4.714e-03
27,fail,0.00504168780397147,0.00516637375877256,0.004837320261957,2.22044604925031e-16,eP=5.166e-03 eF=4.837e-03
28,fail,0.00728032435528098,0.00808408202454779,0.00731814120903329,4.44089209850063e-16,eP=8.084e-03 eF=7.318e-03
29,fail,0.00822099725071853,0.00679308943146622,0.00457085514092569,-2.22044604925031e-16,eP=6.793e-03 eF=4.571e-03
30,fail,0.0064247148891094,0.010001969209493,0.00613730252726583,-6.66133814775094e-16,eP=1.000e-02 eF=6.137e-03
31,fail,0.00603728338052957,0.00509861240556319,0.00407074240945717,0,eP=5.099e-03 eF=4.071e-03
32,fail,0.00270888287519424,0.00976452996110748,0.00580486262772926,2.22044604925031e-16,eP=9.765e-03 eF=5.805e-03
33,fail,0.0195128361517771,0.0081314704811665,0.0105067959917386,0,eP=8.131e-03 eF=1.051e-02
34,fail,0.0127912905392378,0.0055532790533133,0.00492672966869788,0,eP=5.553e-03 eF=4.927e-03
35,fail,0.00796294434871446,0.00676797333347775,0.00555820613364166,-4.44089209850063e-16,eP=6.768e-03 eF=5.558e-03
36,fail,0.00471913814951284,0.0113704117494683,0.00855602588732676,0,eP=1.137e-02 eF=8.556e-03
37,fail,0.00650782224099028,0.0100062215858204,0.00713677238084397,0,eP=1.001e-02 eF=7.137e-03
38,fail,0.0155618311405826,0.0116201260782502,0.00993640201238843,2.22044604925031e-16,eP=1.162e-02 eF=9.936e-03
