ScenarioID,Status,ErrTheta,ErrP,ErrF,SumPtrue,Note
1,fail,0.000941601717000775,0.0011851849927115,0.000959612783168277,0,eP=1.185e-03 eF=9.596e-04
2,fail,0.00208230261968052,0.00104049190109835,0.0010109447522943,-4.44089209850063e-16,eP=1.040e-03 eF=1.011e-03
3,fail,0.00111754649588184,0.00118997848014625,0.00104106581430273,-2.22044604925031e-16,eP=1.190e-03 eF=1.041e-03
4,fail,0.00172510498018404,0.00136197087048373,0.00108350272608835,2.22044604925031e-16,eP=1.362e-03 eF=1.084e-03
5,fail,0.00250505082614489,0.00158330336247548,0.00135254896382144,-2.22044604925031e-16,eP=1.583e-03 eF=1.353e-03
6,fail,0.00050023002881067,0.00153289527704693,0.00105628189764314,2.22044604925031e-16,eP=1.533e-03 eF=1.056e-03
7,fail,0.00153519490509161,0.00175080686874465,0.00105823543985756,2.22044604925031e-16,eP=1.751e-03 eF=1.058e-03
8,fail,0.0012950047240181,0.00157235796768581,0.00122625785553004,0,eP=1.572e-03 eF=1.226e-03
9,fail,0.00234654514446563,0.00229800261945108,0.00160016493691227,-2.22044604925031e-16,eP=2.298e-03 eF=1.600e-03
10,fail,0.00137866517201639,0.00193796037377609,0.00143534091419809,0,eP=1.938e-03 eF=1.435e-03
11,fail,0.00286508731525161,0.00175272440668781,0.0015824062201372,0,eP=1.753e-03 eF=1.582e-03
12,fail,0.00183551204729165,0.00193556433678052,0.00122143916918496,4.44089209850063e-16,eP=1.936e-03 eF=1.221e-03
13,fail,0.0010655860081446,0.00176465099350718,0.00129616499455104,2.22044604925031e-16,eP=1.765e-03 eF=1.296e-03
14,fail,0.00040779160451254,0.000831387304952302,0.000531625533369509,-2.22044604925031e-16,eP=8.314e-04 eF=5.316e-04
15,fail,0.00289030158051089,0.000974412819896999,0.000973529073217771,2.22044604925031e-16,eP=9.744e-04 eF=9.735e-04
16,fail,0.00339350128477992,0.000858875222944446,0.00094209214318341,2.22044604925031e-16,eP=8.589e-04 eF=9.421e-04
17,fail,0.00128951464670472,0.00136182132075412,0.00124405436730714,0,eP=1.362e-03 eF=1.244e-03
18,fail,0.000963142219667442,0.000944508957212972,0.000740361033895232,0,eP=9.445e-04 eF=7.404e-04
19,fail,0.00109660568379444,0.00185511721720467,0.00113784713262133,-4.44089209850063e-16,eP=1.855e-03 eF=1.138e-03
20,fail,0.000647074161468287,0.00103349565149133,0.00092371741910271,-4.44089209850063e-16,eP=1.033e-03 eF=9.237e-04
21,fail,0.000551632465259246,0.0021277975377692,0.00110168346503274,2.22044604925031e-16,eP=2.128e-03 eF=1.102e-03
22,fail,0.000869436850679276,0.00101834669994645,0.000716344540319107,-2.22044604925031e-16,eP=1.018e-03 eF=7.163e-04
23,fail,0.00116200348647617,0.00142005418320005,0.00113479989629464,0,eP=1.420e-03 eF=1.135e-03
24,fail,0.00108021263077588,0.00107098225840158,0.00117700800362292,0,eP=1.071e-03 eF=1.177e-03
25,fail,0.000599893900146331,0.002437024124816,0.00142059634809519,0,eP=2.437e-03 eF=1.421e-03
26,fail,0.00179702259808553,0.000931254197302525,0.000942795669450353,0,eP=9.313e-04 eF=9.428e-04
27,fail,0.00100833756079419,0.00103327475175465,0.000967464052391406,2.22044604925031e-16,eP=1.033e-03 eF=9.675e-04
28,fail,0.00145606487105602,0.00161681640490944,0.00146362824180658,4.44089209850063e-16,eP=1.617e-03 eF=1.464e-03
29,fail,0.00164419945014372,0.00135861788629384,0.000914171028185334,-2.22044604925031e-16,eP=1.359e-03 eF=9.142e-04
30,fail,0.0012849429778217,0.00200039384189832,0.00122746050545311,-6.66133814775094e-16,eP=2.000e-03 eF=1.227e-03
31,fail,0.00120745667610576,0.00101972248111261,0.000814148481891374,0,eP=1.020e-03 eF=8.141e-04
32,fail,0.000541776575039023,0.00195290599222139,0.00116097252554576,2.22044604925031e-16,eP=1.953e-03 eF=1.161e-03
33,fail,0.00390256723035549,0.00162629409623335,0.0021013591983477,0,eP=1.626e-03 eF=2.101e-03
34,fail,0.00255825810784762,0.00111065581066271,0.000985345933739752,0,eP=1.111e-03 eF=9.853e-04
35,fail,0.00159258886974273,0.00135359466669554,0.0011116412267283,-4.44089209850063e-16,eP=1.354e-03 eF=1.112e-03
36,fail,0.00094382762990256,0.00227408234989391,0.0017112051774655,0,eP=2.274e-03 eF=1.711e-03
37,fail,0.00130156444819822,0.00200124431716413,0.00142735447616889,0,eP=2.001e-03 eF=1.427e-03
38,fail,0.00311236622811631,0.00232402521565027,0.00198728040247773,2.22044604925031e-16,eP=2.324e-03 eF=1.987e-03
39,fail,0.00240669494874964,0.00266517190857108,0.00251751826882318,2.22044604925031e-16,eP=2.665e-03 eF=2.518e-03
